#,Title,slug,Difficulty
626,Exchange Seats,exchange-seats,Medium
627,Swap Salary ,swap-salary,Easy
628,Maximum Product of Three Numbers,maximum-product-of-three-numbers,Easy
629,K Inverse Pairs Array,k-inverse-pairs-array,Hard
630,Course Schedule III ,course-schedule-iii,Hard
631,Design Excel Sum Formula,design-excel-sum-formula,Hard
632,Smallest Range Covering Elements from K Lists,smallest-range-covering-elements-from-k-lists,Hard
633,Sum of Square Numbers,sum-of-square-numbers,Easy
634,Find the Derangement of An Array,find-the-derangement-of-an-array,Medium
635,Design Log Storage System,design-log-storage-system,Medium
636,Exclusive Time of Functions,exclusive-time-of-functions,Medium
638,Shopping Offers,shopping-offers,Medium
639,Decode Ways II,decode-ways-ii,Hard
640,Solve the Equation,solve-the-equation,Medium
642,Design Search Autocomplete System,design-search-autocomplete-system,Hard
644,Maximum Average Subarray II,maximum-average-subarray-ii,Hard
645,Set Mismatch,set-mismatch,Easy
646,Maximum Length of Pair Chain,maximum-length-of-pair-chain,Medium
647,Palindromic Substrings,palindromic-substrings,Medium
648,Replace Words ,replace-words,Medium
649,Dota2 Senate,dota2-senate,Medium
650,2 Keys Keyboard,2-keys-keyboard,Medium
651,4 Keys Keyboard,4-keys-keyboard,Medium
652,Find Duplicate Subtrees,find-duplicate-subtrees,Medium
653,Two Sum IV - Input is a BST,two-sum-iv---input-is-a-bst,Easy
655,Print Binary Tree,print-binary-tree,Medium
656,Coin Path,coin-path,Hard
657,Robot Return to Origin,robot-return-to-origin,Easy
658,Find K Closest Elements,find-k-closest-elements,Medium
659,Split Array into Consecutive Subsequences,split-array-into-consecutive-subsequences,Medium
660,Remove 9,remove-9,Hard
661,Image Smoother,image-smoother,Easy
662,Maximum Width of Binary Tree,maximum-width-of-binary-tree,Medium
663,Equal Tree Partition,equal-tree-partition,Medium
664,Strange Printer,strange-printer,Hard
665,Non-decreasing Array,non-decreasing-array,Easy
666,Path Sum IV,path-sum-iv,Medium
667,Beautiful Arrangement II,beautiful-arrangement-ii,Medium
668,Kth Smallest Number in Multiplication Table,kth-smallest-number-in-multiplication-table,Hard
669,Trim a Binary Search Tree,trim-a-binary-search-tree,Easy
670,Maximum Swap,maximum-swap,Medium
671,Second Minimum Node In a Binary Tree,second-minimum-node-in-a-binary-tree,Easy
672,Bulb Switcher II,bulb-switcher-ii,Medium
673,Number of Longest Increasing Subsequence,number-of-longest-increasing-subsequence,Medium
674,Longest Continuous Increasing Subsequence,longest-continuous-increasing-subsequence,Easy
675,Cut Off Trees for Golf Event,cut-off-trees-for-golf-event,Hard
676,Implement Magic Dictionary ,implement-magic-dictionary,Medium
677,Map Sum Pairs,map-sum-pairs,Medium
679,24 Game,24-game,Hard
681,Next Closest Time,next-closest-time,Medium
682,Baseball Game,baseball-game,Easy
683,K Empty Slots,k-empty-slots,Hard
685,Redundant Connection II ,redundant-connection-ii,Hard
686,Repeated String Match,repeated-string-match,Easy
688,Knight Probability in Chessboard,knight-probability-in-chessboard,Medium
689,Maximum Sum of 3 Non-Overlapping Subarrays,maximum-sum-of-3-non-overlapping-subarrays,Hard
690,Employee Importance,employee-importance,Easy
691,Stickers to Spell Word,stickers-to-spell-word,Hard
693,Binary Number with Alternating Bits,binary-number-with-alternating-bits,Easy
694,Number of Distinct Islands,number-of-distinct-islands,Medium
696,Count Binary Substrings,count-binary-substrings,Easy
697,Degree of an Array,degree-of-an-array,Easy
698,Partition to K Equal Sum Subsets,partition-to-k-equal-sum-subsets,Medium
699,Falling Squares,falling-squares,Hard
702,Search in a Sorted Array of Unknown Size,search-in-a-sorted-array-of-unknown-size,Medium
708,Insert into a Sorted Circular Linked List,insert-into-a-sorted-circular-linked-list,Medium
709,To Lower Case,to-lower-case,Easy
710,Random Pick with Blacklist,random-pick-with-blacklist,Hard
711,Number of Distinct Islands II,number-of-distinct-islands-ii,Hard
712,Minimum ASCII Delete Sum for Two Strings,minimum-ascii-delete-sum-for-two-strings,Medium
715,Range Module ,range-module,Hard
716,Max Stack,max-stack,Easy
717,1-bit and 2-bit Characters,1-bit-and-2-bit-characters,Easy
718,Maximum Length of Repeated Subarray,maximum-length-of-repeated-subarray,Medium
719,Find K-th Smallest Pair Distance,find-k-th-smallest-pair-distance,Hard
720,Longest Word in Dictionary,longest-word-in-dictionary,Easy
722,Remove Comments,remove-comments,Medium
723,Candy Crush,candy-crush,Medium
725,Split Linked List in Parts,split-linked-list-in-parts,Medium
726,Number of Atoms,number-of-atoms,Hard
727,Minimum Window Subsequence,minimum-window-subsequence,Hard
728,Self Dividing Numbers,self-dividing-numbers,Easy
729,My Calendar I,my-calendar-i,Medium
730,Count Different Palindromic Subsequences,count-different-palindromic-subsequences,Hard
731,My Calendar II,my-calendar-ii,Medium
732,My Calendar III,my-calendar-iii,Hard
733,Flood Fill ,flood-fill,Easy
734,Sentence Similarity,sentence-similarity,Easy
735,Asteroid Collision,asteroid-collision,Medium
736,Parse Lisp Expression,parse-lisp-expression,Hard
737,Sentence Similarity II,sentence-similarity-ii,Medium
738,Monotone Increasing Digits,monotone-increasing-digits,Medium
739,Daily Temperatures,daily-temperatures,Medium
740,Delete and Earn,delete-and-earn,Medium
741,Cherry Pickup,cherry-pickup,Hard
742,Closest Leaf in a Binary Tree,closest-leaf-in-a-binary-tree,Medium
744,Find Smallest Letter Greater Than Target,find-smallest-letter-greater-than-target,Easy
745,Prefix and Suffix Search,prefix-and-suffix-search,Hard
746,Min Cost Climbing Stairs,min-cost-climbing-stairs,Easy
747,Largest Number At Least Twice of Others,largest-number-at-least-twice-of-others,Easy
748,Shortest Completing Word,shortest-completing-word,Easy
749,Contain Virus,contain-virus,Hard
750,Number Of Corner Rectangles,number-of-corner-rectangles,Medium
751,IP to CIDR,ip-to-cidr,Easy
752,Open the Lock ,open-the-lock,Medium
753,Cracking the Safe,cracking-the-safe,Hard
754,Reach a Number,reach-a-number,Medium
755,Pour Water,pour-water,Medium
756,Pyramid Transition Matrix,pyramid-transition-matrix,Medium
757,Set Intersection Size At Least Two,set-intersection-size-at-least-two,Hard
758,Bold Words in String,bold-words-in-string,Easy
759,Employee Free Time,employee-free-time,Hard
760,Find Anagram Mappings,find-anagram-mappings,Easy
761,Special Binary String,special-binary-string,Hard
762,Prime Number of Set Bits in Binary Representation,prime-number-of-set-bits-in-binary-representation,Easy
764,Largest Plus Sign,largest-plus-sign,Medium
765,Couples Holding Hands,couples-holding-hands,Hard
766,Toeplitz Matrix,toeplitz-matrix,Easy
767,Reorganize String,reorganize-string,Medium
768,Max Chunks To Make Sorted II,max-chunks-to-make-sorted-ii,Hard
769,Max Chunks To Make Sorted ,max-chunks-to-make-sorted,Medium
770,Basic Calculator IV,basic-calculator-iv,Hard
772,Basic Calculator III,basic-calculator-iii,Hard
773,Sliding Puzzle,sliding-puzzle,Hard
774,Minimize Max Distance to Gas Station,minimize-max-distance-to-gas-station,Hard
775,Global and Local Inversions,global-and-local-inversions,Medium
776,Split BST,split-bst,Medium
777,Swap Adjacent in LR String,swap-adjacent-in-lr-string,Medium
778,Swim in Rising Water,swim-in-rising-water,Hard
779,K-th Symbol in Grammar,k-th-symbol-in-grammar,Medium
780,Reaching Points,reaching-points,Hard
781,Rabbits in Forest,rabbits-in-forest,Medium
782,Transform to Chessboard,transform-to-chessboard,Hard
783,Minimum Distance Between BST Nodes ,minimum-distance-between-bst-nodes,Easy
784,Letter Case Permutation,letter-case-permutation,Easy
786,K-th Smallest Prime Fraction,k-th-smallest-prime-fraction,Hard
788,Rotated Digits,rotated-digits,Easy
789,Escape The Ghosts,escape-the-ghosts,Medium
790,Domino and Tromino Tiling,domino-and-tromino-tiling,Medium
791,Custom Sort String,custom-sort-string,Medium
792,Number of Matching Subsequences,number-of-matching-subsequences,Medium
793,Preimage Size of Factorial Zeroes Function,preimage-size-of-factorial-zeroes-function,Hard
794,Valid Tic-Tac-Toe State,valid-tic-tac-toe-state,Medium
795,Number of Subarrays with Bounded Maximum,number-of-subarrays-with-bounded-maximum,Medium
796,Rotate String,rotate-string,Easy
798,Smallest Rotation with Highest Score,smallest-rotation-with-highest-score,Hard
800,Similar RGB Color,similar-rgb-color,Easy
801,Minimum Swaps To Make Sequences Increasing,minimum-swaps-to-make-sequences-increasing,Medium
802,Find Eventual Safe States,find-eventual-safe-states,Medium
803,Bricks Falling When Hit,bricks-falling-when-hit,Hard
804,Unique Morse Code Words,unique-morse-code-words,Easy
805,Split Array With Same Average,split-array-with-same-average,Hard
806,Number of Lines To Write String,number-of-lines-to-write-string,Easy
807,Max Increase to Keep City Skyline,max-increase-to-keep-city-skyline,Medium
808,Soup Servings,soup-servings,Medium
809,Expressive Words,expressive-words,Medium
810,Chalkboard XOR Game,chalkboard-xor-game,Hard
811,Subdomain Visit Count,subdomain-visit-count,Easy
812,Largest Triangle Area,largest-triangle-area,Easy
813,Largest Sum of Averages,largest-sum-of-averages,Medium
815,Bus Routes,bus-routes,Hard
816,Ambiguous Coordinates,ambiguous-coordinates,Medium
817,Linked List Components,linked-list-components,Medium
818,Race Car,race-car,Hard
819,Most Common Word,most-common-word,Easy
820,Short Encoding of Words,short-encoding-of-words,Medium
821,Shortest Distance to a Character,shortest-distance-to-a-character,Easy
822,Card Flipping Game,card-flipping-game,Medium
823,Binary Trees With Factors,binary-trees-with-factors,Medium
824,Goat Latin,goat-latin,Easy
825,Friends Of Appropriate Ages,friends-of-appropriate-ages,Medium
827,Making A Large Island,making-a-large-island,Hard
828,Count Unique Characters of All Substrings of a Given String,count-unique-characters-of-all-substrings-of-a-given-string,Hard
829,Consecutive Numbers Sum,consecutive-numbers-sum,Hard
830,Positions of Large Groups,positions-of-large-groups,Easy
831,Masking Personal Information,masking-personal-information,Medium
832,Flipping an Image,flipping-an-image,Easy
833,Find And Replace in String,find-and-replace-in-string,Medium
834,Sum of Distances in Tree,sum-of-distances-in-tree,Hard
835,Image Overlap,image-overlap,Medium
837,New 21 Game,new-21-game,Medium
838,Push Dominoes,push-dominoes,Medium
839,Similar String Groups,similar-string-groups,Hard
840,Magic Squares In Grid,magic-squares-in-grid,Easy
842,Split Array into Fibonacci Sequence,split-array-into-fibonacci-sequence,Medium
843,Guess the Word,guess-the-word,Hard
844,Backspace String Compare,backspace-string-compare,Easy
845,Longest Mountain in Array,longest-mountain-in-array,Medium
846,Hand of Straights,hand-of-straights,Medium
847,Shortest Path Visiting All Nodes,shortest-path-visiting-all-nodes,Hard
848,Shifting Letters,shifting-letters,Medium
849,Maximize Distance to Closest Person,maximize-distance-to-closest-person,Easy
850,Rectangle Area II,rectangle-area-ii,Hard
851,Loud and Rich,loud-and-rich,Medium
852,Peak Index in a Mountain Array,peak-index-in-a-mountain-array,Easy
853,Car Fleet,car-fleet,Medium
854,K-Similar Strings,k-similar-strings,Hard
855,Exam Room,exam-room,Medium
856,Score of Parentheses,score-of-parentheses,Medium
857,Minimum Cost to Hire K Workers,minimum-cost-to-hire-k-workers,Hard
858,Mirror Reflection,mirror-reflection,Medium
859,Buddy Strings,buddy-strings,Easy
861,Score After Flipping Matrix,score-after-flipping-matrix,Medium
862,Shortest Subarray with Sum at Least K,shortest-subarray-with-sum-at-least-k,Hard
863,All Nodes Distance K in Binary Tree,all-nodes-distance-k-in-binary-tree,Medium
864,Shortest Path to Get All Keys,shortest-path-to-get-all-keys,Hard
865,Smallest Subtree with all the Deepest Nodes ,smallest-subtree-with-all-the-deepest-nodes,Medium
866,Prime Palindrome,prime-palindrome,Medium
867,Transpose Matrix,transpose-matrix,Easy
868,Binary Gap,binary-gap,Easy
869,Reordered Power of 2,reordered-power-of-2,Medium
870,Advantage Shuffle,advantage-shuffle,Medium
871,Minimum Number of Refueling Stops,minimum-number-of-refueling-stops,Hard
872,Leaf-Similar Trees,leaf-similar-trees,Easy
873,Length of Longest Fibonacci Subsequence,length-of-longest-fibonacci-subsequence,Medium
874,Walking Robot Simulation,walking-robot-simulation,Easy
875,Koko Eating Bananas,koko-eating-bananas,Medium
877,Stone Game,stone-game,Medium
878,Nth Magical Number,nth-magical-number,Hard
879,Profitable Schemes,profitable-schemes,Hard
880,Decoded String at Index,decoded-string-at-index,Medium
882,Reachable Nodes In Subdivided Graph,reachable-nodes-in-subdivided-graph,Hard
883,Projection Area of 3D Shapes,projection-area-of-3d-shapes,Easy
884,Uncommon Words from Two Sentences,uncommon-words-from-two-sentences,Easy
885,Spiral Matrix III,spiral-matrix-iii,Medium
886,Possible Bipartition,possible-bipartition,Medium
887,Super Egg Drop,super-egg-drop,Hard
889,Construct Binary Tree from Preorder and Postorder Traversal,construct-binary-tree-from-preorder-and-postorder-traversal,Medium
890,Find and Replace Pattern,find-and-replace-pattern,Medium
891,Sum of Subsequence Widths,sum-of-subsequence-widths,Hard
892,Surface Area of 3D Shapes,surface-area-of-3d-shapes,Easy
893,Groups of Special-Equivalent Strings,groups-of-special-equivalent-strings,Easy
894,All Possible Full Binary Trees ,all-possible-full-binary-trees,Medium
895,Maximum Frequency Stack,maximum-frequency-stack,Hard
896,Monotonic Array,monotonic-array,Easy
898,Bitwise ORs of Subarrays,bitwise-ors-of-subarrays,Medium
899,Orderly Queue,orderly-queue,Hard
900,RLE Iterator,rle-iterator,Medium
901,Online Stock Span,online-stock-span,Medium
902,Numbers At Most N Given Digit Set,numbers-at-most-n-given-digit-set,Hard
903,Valid Permutations for DI Sequence,valid-permutations-for-di-sequence,Hard
904,Fruit Into Baskets,fruit-into-baskets,Medium
905,Sort Array By Parity,sort-array-by-parity,Easy
906,Super Palindromes,super-palindromes,Hard
907,Sum of Subarray Minimums,sum-of-subarray-minimums,Medium
908,Smallest Range I,smallest-range-i,Easy
909,Snakes and Ladders,snakes-and-ladders,Medium
910,Smallest Range II,smallest-range-ii,Medium
911,Online Election,online-election,Medium
913,Cat and Mouse,cat-and-mouse,Hard
914,X of a Kind in a Deck of Cards,x-of-a-kind-in-a-deck-of-cards,Easy
915,Partition Array into Disjoint Intervals,partition-array-into-disjoint-intervals,Medium
916,Word Subsets,word-subsets,Medium
917,Reverse Only Letters,reverse-only-letters,Easy
918,Maximum Sum Circular Subarray,maximum-sum-circular-subarray,Medium
919,Complete Binary Tree Inserter,complete-binary-tree-inserter,Medium
920,Number of Music Playlists,number-of-music-playlists,Hard
921,Minimum Add to Make Parentheses Valid,minimum-add-to-make-parentheses-valid,Medium
922,Sort Array By Parity II,sort-array-by-parity-ii,Easy
923,3Sum With Multiplicity,3sum-with-multiplicity,Medium
924,Minimize Malware Spread,minimize-malware-spread,Hard
925,Long Pressed Name,long-pressed-name,Easy
926,Flip String to Monotone Increasing,flip-string-to-monotone-increasing,Medium
927,Three Equal Parts,three-equal-parts,Hard
928,Minimize Malware Spread II,minimize-malware-spread-ii,Hard
929,Unique Email Addresses,unique-email-addresses,Easy
930,Binary Subarrays With Sum,binary-subarrays-with-sum,Medium
931,Minimum Falling Path Sum,minimum-falling-path-sum,Medium
932,Beautiful Array,beautiful-array,Medium
933,Number of Recent Calls,number-of-recent-calls,Easy
934,Shortest Bridge,shortest-bridge,Medium
935,Knight Dialer,knight-dialer,Medium
936,Stamping The Sequence,stamping-the-sequence,Hard
937,Reorder Data in Log Files,reorder-data-in-log-files,Easy
939,Minimum Area Rectangle,minimum-area-rectangle,Medium
940,Distinct Subsequences II,distinct-subsequences-ii,Hard
942,DI String Match,di-string-match,Easy
943,Find the Shortest Superstring,find-the-shortest-superstring,Hard
944,Delete Columns to Make Sorted,delete-columns-to-make-sorted,Easy
945,Minimum Increment to Make Array Unique,minimum-increment-to-make-array-unique,Medium
946,Validate Stack Sequences,validate-stack-sequences,Medium
947,Most Stones Removed with Same Row or Column,most-stones-removed-with-same-row-or-column,Medium
948,Bag of Tokens,bag-of-tokens,Medium
949,Largest Time for Given Digits,largest-time-for-given-digits,Easy
950,Reveal Cards In Increasing Order,reveal-cards-in-increasing-order,Medium
951,Flip Equivalent Binary Trees,flip-equivalent-binary-trees,Medium
952,Largest Component Size by Common Factor,largest-component-size-by-common-factor,Hard
953,Verifying an Alien Dictionary,verifying-an-alien-dictionary,Easy
954,Array of Doubled Pairs,array-of-doubled-pairs,Medium
955,Delete Columns to Make Sorted II,delete-columns-to-make-sorted-ii,Medium
956,Tallest Billboard,tallest-billboard,Hard
957,Prison Cells After N Days,prison-cells-after-n-days,Medium
958,Check Completeness of a Binary Tree,check-completeness-of-a-binary-tree,Medium
959,Regions Cut By Slashes,regions-cut-by-slashes,Medium
960,Delete Columns to Make Sorted III,delete-columns-to-make-sorted-iii,Hard
961,N-Repeated Element in Size 2N Array,n-repeated-element-in-size-2n-array,Easy
962,Maximum Width Ramp,maximum-width-ramp,Medium
963,Minimum Area Rectangle II,minimum-area-rectangle-ii,Medium
964,Least Operators to Express Number,least-operators-to-express-number,Hard
966,Vowel Spellchecker,vowel-spellchecker,Medium
967,Numbers With Same Consecutive Differences,numbers-with-same-consecutive-differences,Medium
968,Binary Tree Cameras,binary-tree-cameras,Hard
969,Pancake Sorting,pancake-sorting,Medium
970,Powerful Integers,powerful-integers,Easy
971,Flip Binary Tree To Match Preorder Traversal,flip-binary-tree-to-match-preorder-traversal,Medium
972,Equal Rational Numbers,equal-rational-numbers,Hard
973,K Closest Points to Origin,k-closest-points-to-origin,Medium
975,Odd Even Jump,odd-even-jump,Hard
976,Largest Perimeter Triangle,largest-perimeter-triangle,Easy
978,Longest Turbulent Subarray,longest-turbulent-subarray,Medium
979,Distribute Coins in Binary Tree,distribute-coins-in-binary-tree,Medium
980,Unique Paths III,unique-paths-iii,Hard
981,Time Based Key-Value Store ,time-based-key-value-store,Medium
982,Triples with Bitwise AND Equal To Zero,triples-with-bitwise-and-equal-to-zero,Hard
983,Minimum Cost For Tickets,minimum-cost-for-tickets,Medium
984,String Without AAA or BBB,string-without-aaa-or-bbb,Medium
985,Sum of Even Numbers After Queries,sum-of-even-numbers-after-queries,Easy
987,Vertical Order Traversal of a Binary Tree,vertical-order-traversal-of-a-binary-tree,Medium
988,Smallest String Starting From Leaf,smallest-string-starting-from-leaf,Medium
989,Add to Array-Form of Integer,add-to-array-form-of-integer,Easy
990,Satisfiability of Equality Equations,satisfiability-of-equality-equations,Medium
991,Broken Calculator,broken-calculator,Medium
992,Subarrays with K Different Integers,subarrays-with-k-different-integers,Hard
994,Rotting Oranges,rotting-oranges,Medium
995,Minimum Number of K Consecutive Bit Flips,minimum-number-of-k-consecutive-bit-flips,Hard
996,Number of Squareful Arrays,number-of-squareful-arrays,Hard
998,Maximum Binary Tree II,maximum-binary-tree-ii,Medium
999,Available Captures for Rook,available-captures-for-rook,Easy
1000,Minimum Cost to Merge Stones,minimum-cost-to-merge-stones,Hard
1001,Grid Illumination,grid-illumination,Hard
1002,Find Common Characters,find-common-characters,Easy
1003,Check If Word Is Valid After Substitutions,check-if-word-is-valid-after-substitutions,Medium
1004,Max Consecutive Ones III,max-consecutive-ones-iii,Medium
1005,Maximize Sum Of Array After K Negations,maximize-sum-of-array-after-k-negations,Easy
1006,Clumsy Factorial,clumsy-factorial,Medium
1007,Minimum Domino Rotations For Equal Row,minimum-domino-rotations-for-equal-row,Medium
1008,Construct Binary Search Tree from Preorder Traversal,construct-binary-search-tree-from-preorder-traversal,Medium
1009,Complement of Base 10 Integer,complement-of-base-10-integer,Easy
1010,Pairs of Songs With Total Durations Divisible by 60,pairs-of-songs-with-total-durations-divisible-by-60,Easy
1011,Capacity To Ship Packages Within D Days,capacity-to-ship-packages-within-d-days,Medium
1012,Numbers With Repeated Digits,numbers-with-repeated-digits,Hard
1013,Partition Array Into Three Parts With Equal Sum,partition-array-into-three-parts-with-equal-sum,Easy
1014,Best Sightseeing Pair,best-sightseeing-pair,Medium
1015,Smallest Integer Divisible by K,smallest-integer-divisible-by-k,Medium
1016,Binary String With Substrings Representing 1 To N,binary-string-with-substrings-representing-1-to-n,Medium
1017,Convert to Base -2,convert-to-base--2,Medium
1019,Next Greater Node In Linked List,next-greater-node-in-linked-list,Medium
1020,Number of Enclaves,number-of-enclaves,Medium
1021,Remove Outermost Parentheses,remove-outermost-parentheses,Easy
1022,Sum of Root To Leaf Binary Numbers,sum-of-root-to-leaf-binary-numbers,Easy
1023,Camelcase Matching,camelcase-matching,Medium
1024,Video Stitching,video-stitching,Medium
1025,Divisor Game,divisor-game,Easy
1026,Maximum Difference Between Node and Ancestor ,maximum-difference-between-node-and-ancestor,Medium
1027,Longest Arithmetic Sequence,longest-arithmetic-sequence,Medium
1028,Recover a Tree From Preorder Traversal,recover-a-tree-from-preorder-traversal,Hard
1030,Matrix Cells in Distance Order,matrix-cells-in-distance-order,Easy
1031,Maximum Sum of Two Non-Overlapping Subarrays,maximum-sum-of-two-non-overlapping-subarrays,Medium
1032,Stream of Characters,stream-of-characters,Hard
1033,Moving Stones Until Consecutive,moving-stones-until-consecutive,Easy
1034,Coloring A Border,coloring-a-border,Medium
1035,Uncrossed Lines,uncrossed-lines,Medium
1036,Escape a Large Maze,escape-a-large-maze,Hard
1037,Valid Boomerang,valid-boomerang,Easy
1038,Binary Search Tree to Greater Sum Tree,binary-search-tree-to-greater-sum-tree,Medium
1039,Minimum Score Triangulation of Polygon,minimum-score-triangulation-of-polygon,Medium
1040,Moving Stones Until Consecutive II,moving-stones-until-consecutive-ii,Medium
1041,Robot Bounded In Circle,robot-bounded-in-circle,Medium
1042,Flower Planting With No Adjacent,flower-planting-with-no-adjacent,Easy
1043,Partition Array for Maximum Sum ,partition-array-for-maximum-sum,Medium
1044,Longest Duplicate Substring,longest-duplicate-substring,Hard
1045,Customers Who Bought All Products,customers-who-bought-all-products,Medium
1047,Remove All Adjacent Duplicates In String,remove-all-adjacent-duplicates-in-string,Easy
1048,Longest String Chain,longest-string-chain,Medium
1049,Last Stone Weight II,last-stone-weight-ii,Medium
1050,Actors and Directors Who Cooperated At Least Three Times,actors-and-directors-who-cooperated-at-least-three-times,Easy
1051,Height Checker,height-checker,Easy
1052,Grumpy Bookstore Owner,grumpy-bookstore-owner,Medium
1053,Previous Permutation With One Swap,previous-permutation-with-one-swap,Medium
1054,Distant Barcodes,distant-barcodes,Medium
1055,Shortest Way to Form String,shortest-way-to-form-string,Medium
1056,Confusing Number,confusing-number,Easy
1057,Campus Bikes,campus-bikes,Medium
1058,Minimize Rounding Error to Meet Target,minimize-rounding-error-to-meet-target,Medium
1059,All Paths from Source Lead to Destination,all-paths-from-source-lead-to-destination,Medium
1060,Missing Element in Sorted Array,missing-element-in-sorted-array,Medium
1061,Lexicographically Smallest Equivalent String,lexicographically-smallest-equivalent-string,Medium
1062,Longest Repeating Substring,longest-repeating-substring,Medium
1063,Number of Valid Subarrays,number-of-valid-subarrays,Hard
1064,Fixed Point,fixed-point,Easy
1065,Index Pairs of a String,index-pairs-of-a-string,Easy
1066,Campus Bikes II,campus-bikes-ii,Medium
1067,Digit Count in Range,digit-count-in-range,Hard
1068,Product Sales Analysis I,product-sales-analysis-i,Easy
1069,Product Sales Analysis II,product-sales-analysis-ii,Easy
1070,Product Sales Analysis III,product-sales-analysis-iii,Medium
1071,Greatest Common Divisor of Strings,greatest-common-divisor-of-strings,Easy
1072,Flip Columns For Maximum Number of Equal Rows,flip-columns-for-maximum-number-of-equal-rows,Medium
1073,Adding Two Negabinary Numbers,adding-two-negabinary-numbers,Medium
1074,Number of Submatrices That Sum to Target,number-of-submatrices-that-sum-to-target,Hard
1075,Project Employees I,project-employees-i,Easy
1076,Project Employees II,project-employees-ii,Easy
1077,Project Employees III,project-employees-iii,Medium
1078,Occurrences After Bigram,occurrences-after-bigram,Easy
1079,Letter Tile Possibilities,letter-tile-possibilities,Medium
1080,Insufficient Nodes in Root to Leaf Paths,insufficient-nodes-in-root-to-leaf-paths,Medium
1081,Smallest Subsequence of Distinct Characters,smallest-subsequence-of-distinct-characters,Medium
1082,Sales Analysis I,sales-analysis-i,Easy
1083,Sales Analysis II,sales-analysis-ii,Easy
1084,Sales Analysis III,sales-analysis-iii,Easy
1085,Sum of Digits in the Minimum Number,sum-of-digits-in-the-minimum-number,Easy
1086,High Five,high-five,Easy
1087,Brace Expansion,brace-expansion,Medium
1088,Confusing Number II,confusing-number-ii,Hard
1089,Duplicate Zeros,duplicate-zeros,Easy
1090,Largest Values From Labels,largest-values-from-labels,Medium
1091,Shortest Path in Binary Matrix ,shortest-path-in-binary-matrix,Medium
1092,Shortest Common Supersequence ,shortest-common-supersequence,Hard
1094,Car Pooling,car-pooling,Medium
1095,Find in Mountain Array,find-in-mountain-array,Hard
1096,Brace Expansion II,brace-expansion-ii,Hard
1097,Game Play Analysis V,game-play-analysis-v,Hard
1098,Unpopular Books,unpopular-books,Medium
1099,Two Sum Less Than K,two-sum-less-than-k,Easy
1100,Find K-Length Substrings With No Repeated Characters,find-k-length-substrings-with-no-repeated-characters,Medium
1101,The Earliest Moment When Everyone Become Friends,the-earliest-moment-when-everyone-become-friends,Medium
1102,Path With Maximum Minimum Value,path-with-maximum-minimum-value,Medium
1104,Path In Zigzag Labelled Binary Tree,path-in-zigzag-labelled-binary-tree,Medium
1105,Filling Bookcase Shelves,filling-bookcase-shelves,Medium
1106,Parsing A Boolean Expression,parsing-a-boolean-expression,Hard
1107,New Users Daily Count,new-users-daily-count,Medium
1108,Defanging an IP Address,defanging-an-ip-address,Easy
1109,Corporate Flight Bookings,corporate-flight-bookings,Medium
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,maximum-nesting-depth-of-two-valid-parentheses-strings,Medium
1112,Highest Grade For Each Student,highest-grade-for-each-student,Medium
1113,Reported Posts,reported-posts,Easy
1115,Print FooBar Alternately,print-foobar-alternately,Medium
1116,Print Zero Even Odd,print-zero-even-odd,Medium
1117,Building H2O,building-h2o,Medium
1118,Number of Days in a Month,number-of-days-in-a-month,Easy
1119,Remove Vowels from a String,remove-vowels-from-a-string,Easy
1120,Maximum Average Subtree,maximum-average-subtree,Medium
1121,Divide Array Into Increasing Sequences,divide-array-into-increasing-sequences,Hard
1122,Relative Sort Array,relative-sort-array,Easy
1123,Lowest Common Ancestor of Deepest Leaves,lowest-common-ancestor-of-deepest-leaves,Medium
1124,Longest Well-Performing Interval,longest-well-performing-interval,Medium
1125,Smallest Sufficient Team,smallest-sufficient-team,Hard
1126,Active Businesses,active-businesses,Medium
1127,User Purchase Platform,user-purchase-platform,Hard
1128,Number of Equivalent Domino Pairs,number-of-equivalent-domino-pairs,Easy
1129,Shortest Path with Alternating Colors ,shortest-path-with-alternating-colors,Medium
1130,Minimum Cost Tree From Leaf Values ,minimum-cost-tree-from-leaf-values,Medium
1131,Maximum of Absolute Value Expression,maximum-of-absolute-value-expression,Medium
1132,Reported Posts II,reported-posts-ii,Medium
1133,Largest Unique Number,largest-unique-number,Easy
1134,Armstrong Number,armstrong-number,Easy
1135,Connecting Cities With Minimum Cost,connecting-cities-with-minimum-cost,Medium
1136,Parallel Courses,parallel-courses,Hard
1138,Alphabet Board Path,alphabet-board-path,Medium
1139,Largest 1-Bordered Square,largest-1-bordered-square,Medium
1140,Stone Game II,stone-game-ii,Medium
1141,User Activity for the Past 30 Days I,user-activity-for-the-past-30-days-i,Easy
1142,User Activity for the Past 30 Days II,user-activity-for-the-past-30-days-ii,Easy
1144,Decrease Elements To Make Array Zigzag,decrease-elements-to-make-array-zigzag,Medium
1145,Binary Tree Coloring Game,binary-tree-coloring-game,Medium
1146,Snapshot Array,snapshot-array,Medium
1147,Longest Chunked Palindrome Decomposition,longest-chunked-palindrome-decomposition,Hard
1148,Article Views I,article-views-i,Easy
1149,Article Views II,article-views-ii,Medium
1150,Check If a Number Is Majority Element in a Sorted Array,check-if-a-number-is-majority-element-in-a-sorted-array,Easy
1151,Minimum Swaps to Group All 1's Together,minimum-swaps-to-group-all-1s-together,Medium
